index,prompt,completion,qty,range_end,unit,comment
666,2 cups shelled walnuts,walnuts,2.0,0.0,cup,shelled
667,2 1/2 cups shelled pecans,pecans,2.5,0.0,cup,shelled
668,1 cup shelled almonds,almonds,1.0,0.0,cup,shelled
669,2 cups shelled salted pistachios,pistachios,2.0,0.0,cup,shelled salted
670,2 teaspoons almond extract,almond extract,2.0,0.0,teaspoon,
671,1 cup granulated sugar,sugar,1.0,0.0,cup,granulated
672,4 eggs,eggs,4.0,0.0,,
673,1/2 teaspoon kosher salt,salt,0.5,0.0,teaspoon,kosher
674,2 teaspoons double acting baking powder,baking powder,2.0,0.0,teaspoon,double acting
675,2 cups sifted all-purpose flour,all-purpose flour,2.0,0.0,cup,sifted
676,"1 cup chopped candied orange peel, or 1/4 cup freshly grated orange zest",orange peel,1.0,0.0,cup,"chopped candied, or 1/4 cup freshly grated orange zested"
677,1 pound candied cherries,cherries,1.0,0.0,pound,candied
678,1 pound candied pineapple,pineapple,1.0,0.0,pound,candied
679,1/2 pound prunes from Agen or use more dates,prunes,0.5,0.0,pound,from Agen or use more dates
680,Butter for pans,Butter,0.0,0.0,,for pans
681,1 pound pitted Medjool dates,Medjool dates,1.0,0.0,pound,pitted
682,Sea salt,Sea salt,0.0,0.0,,
683,"Grated zest from 2 lemons, preferably Meyer; cut lemons into large wedges",lemons,2.0,0.0,,"Grated zested from, preferably Meyer; cut lemons into large wedges"
684,"4 ounces butter, softened",butter,4.0,0.0,ounce,softened
685,"3 dozen unshucked oysters, scrubbed",oysters,3.0,0.0,dozen,unshucked scrubbed
686,3 eggs,eggs,3.0,0.0,,
687,1 cup all-purpose flour,all-purpose flour,1.0,0.0,cup,
688,1/4 teaspoon salt,salt,0.25,0.0,teaspoon,
689,1 teaspoon cinnamon,cinnamon,1.0,0.0,teaspoon,
690,1/2 cup or 1 stick butter,butter,0.5,0.0,cup,or 1 stick
691,1/2 cup plus 1 tablespoon sugar,sugar,9.0,0.0,tablespoon,
692,"Corn, grapeseed, canola or other neutral oil for frying",corn oil for frying,0.0,0.0,,"or grapeseed oil, or canola oil or other neutral oil"
693,1 tablespoon butter,butter,1.0,0.0,tablespoon,
694,2 eggs plus 2 egg yolks,eggs,2.0,0.0,,plus 2 egg yolks
695,3/4 cup low-fat milk,milk,0.75,0.0,cup,low-fat
696,1 teaspoon fresh thyme leaves,thyme,1.0,0.0,teaspoon,fresh leaves
697,"2 stalks celery, coarsely chopped",celery,2.0,0.0,stalk,coarsely chopped
698,"2 carrots, peeled, coarsely chopped",carrots,2.0,0.0,,"peeled, coarsely chopped"
699,"1 small clove garlic, peeled, finely chopped",garlic,1.0,0.0,clove,"small, peeled, finely chopped"
700,"1 small onion, peeled, finely chopped",onion,1.0,0.0,,"small, peeled, finely chopped"
701,"2 medium yams, about 2/3 pound, peeled, coarsely chopped",yams,2.0,0.0,,"medium, about 2/3 pound, peeled, coarsely chopped"
702,"4 cups chicken broth, homemade or low-sodium canned",chicken broth,4.0,0.0,cup,homemade or low-sodium canned
703,"4 black peppercorns, crushed",black peppercorns,4.0,0.0,,crushed
704,1 bay leaf,bay leaf,1.0,0.0,,
705,"1 cup fresh mozzarella, cut into 1/4-inch dice",mozzarella,1.0,0.0,cup,"fresh, cut into 1/4-inch dice"
706,"1 meaty ham hock, quartered",ham hock,1.0,0.0,,"meaty, quartered"
707,"2 cups bitter greens, like mustard or dandelion, rinsed and shredded",bitter greens,2.0,0.0,cup,"like mustard or dandelion, rinsed and shredded"
708,1/2 teaspoon salt,salt,0.5,0.0,teaspoon,
709,1 teaspoon freshly ground pepper,pepper,1.0,0.0,teaspoon,freshly ground
710,1 tablespoon grated Parmesan cheese,Parmesan cheese,1.0,0.0,tablespoon,grated
711,1 tablespoon minced fresh chives,chives,1.0,0.0,tablespoon,minced fresh
712,1/2 cup fresh minced sage leaves,sage leaves,0.5,0.0,cup,fresh minced
713,10 cups broth (see above),broth,10.0,0.0,cup,see above
714,3 cups Arborio rice,Arborio rice,3.0,0.0,cup,
715,"1 white onion, minced",white onion,1.0,0.0,,minced
716,1 tablespoon unsalted butter,unsalted butter,1.0,0.0,tablespoon,
717,1 cup shaved almonds,almonds,1.0,0.0,cup,shaved
718,1/8 teaspoon cayenne pepper,cayenne pepper,0.13,0.0,teaspoon,
719,1/4 teaspoon kosher salt,kosher salt,0.25,0.0,teaspoon,
720,1 teaspoon water,water,1.0,0.0,teaspoon,
721,1/2 teaspoon olive oil,olive oil,0.5,0.0,teaspoon,
722,"1 stalk celery, cut into 1-inch pieces",celery,1.0,0.0,stalk,cut into 1-inch pieces
723,"1 carrot, peeled, cut into 1-inch pieces",carrot,1.0,0.0,,"peeled, cut into 1-inch pieces"
724,"3 medium yams, about 1 pound total, peeled, cut in half",yams,3.0,0.0,,"medium, about 1 pound total, peeled, cut in half"
725,"1 gallon chicken broth, homemade or low-sodium canned",chicken broth,1.0,0.0,gallon,homemade or low-sodium canned
726,"1 tablespoon butter, cut into small pieces",butter,1.0,0.0,tablespoon,cut into small pieces
727,1 tablespoon fresh thyme leaves,thyme,1.0,0.0,tablespoon,fresh leaves
728,1/4 teaspoon freshly ground pepper,pepper,0.25,0.0,teaspoon,freshly ground
729,1/2 teaspoon salt,salt,0.5,0.0,teaspoon,
730,2 teaspoons brown sugar,brown sugar,2.0,0.0,teaspoon,
731,2 cups apple cider,apple cider,2.0,0.0,cup,
732,"3 medium yams, about 1 pound, cut into thin round slices",yams,3.0,0.0,,"medium, about 1 pound, cut into thin round slices"
733,"3 medium red onions, peeled, cut into paper-thin round slices",red onion,3.0,0.0,,"medium, peeled, cut into paper-thin round slices"
734,"6 sprigs flat-leaf parsley, stems removed, finely chopped",flat-leaf parsley,6.0,0.0,sprig,"stems removed, finely chopped"
735,6 tablespoons plain low-fat yogurt,plain low-fat yogurt,6.0,0.0,tablespoon,
736,1 teaspoon freshly ground pepper,pepper,1.0,0.0,teaspoon,freshly ground
737,1/2 teaspoon salt,salt,0.5,0.0,teaspoon,
738,"1 1/2 quarts chicken broth, homemade or low-sodium canned",chicken broth,1.5,0.0,quart,homemade or low-sodium canned
739,1 tablespoon fresh thyme leaves,thyme,1.0,0.0,tablespoon,fresh leaves
740,1 bay leaf,bay leaf,1.0,0.0,,
741,"3 carrots, peeled, coarsely chopped",carrots,3.0,0.0,,"peeled, coarsely chopped"
742,"1 rib celery, coarsely chopped",celery rib,1.0,0.0,,coarsely chopped
743,"1 small clove garlic, peeled, finely chopped",garlic,1.0,0.0,clove,"small, peeled, finely chopped"
744,"1 red onion, peeled, coarsely chopped",red onion,1.0,0.0,,"peeled, coarsely chopped"
745,"6 medium yams, about 2 pounds, peeled, cut into 1-inch chunks",yams,6.0,0.0,,"medium, about 2 pounds, peeled, cut into 1-inch chunks"
746,1/2 teaspoon kosher salt,salt,0.5,0.0,teaspoon,kosher
747,"2 medium cloves garlic, smashed, peeled and mashed to a paste",garlic,2.0,0.0,clove,"medium, smashed, peeled and mashed to a paste"
748,"3 teaspoons capers, drained",capers,3.0,0.0,teaspoon,drained
749,1 1/2 tablespoons fresh lemon juice,lemon juice,1.5,0.0,tablespoon,fresh
750,3 tablespoons minced fresh Italian parsley leaves,parsley leaves,3.0,0.0,tablespoon,minced fresh Italian
751,3 tablespoons olive oil,olive oil,3.0,0.0,tablespoon,
752,"3 7-ounce jars roasted red peppers, drained",red peppers,21.0,0.0,ounce,"3 7-ounce jars roasted, drained"
753,"1 medium pear, cored, peeled and cut into chunks",pear,1.0,0.0,,"medium, cored, peeled and cut into chunks"
754,2 teaspoons olive oil,olive oil,2.0,0.0,teaspoon,
755,2 one-pound pork tenderloins (each 10 inches long and 2 1/2 inches in diameter),pork tenderloins,2.0,0.0,,one-pound (each 10 inches long and 2 1/2 inches in diameter)
756,15 grinds fresh black pepper,black pepper,15.0,0.0,,grinds fresh
757,Scant 1/2 teaspoon ground cardamom,cardamom,0.5,0.0,teaspoon,Scant ground
758,Scant 1/2 teaspoon cinnamon,cinnamon,0.5,0.0,teaspoon,Scant
759,1 1/2 teaspoons kosher salt,salt,1.5,0.0,teaspoon,kosher
760,"6 limes, sliced into thin wedges",limes,6.0,0.0,,sliced into thin wedges
761,3 pounds peeled shrimp (20 to 24 a pound),shrimp,3.0,0.0,pound,peeled (20 to 24 a pound)
762,"Kosher salt, to taste",salt,0.0,0.0,,"Kosher, to taste"
763,"6 jalapeno peppers, seeded, de-veined and cut into chunks",jalapeno peppers,6.0,0.0,,"seeded, de-veined and cut into chunks"
764,"1 1/4 cups trimmed, washed cilantro plus 75 nice leaves for garnish",cilantro,1.25,0.0,cup,"trimmed, washed plus 75 nice leaves for garnish"
765,3 tablespoons olive oil,olive oil,3.0,0.0,tablespoon,
766,8 tablespoons lime juice,lime juice,8.0,0.0,tablespoon,
767,Freshly ground black pepper to taste,"black pepper, freshly ground to taste",0.0,0.0,,
768,1 1/2 teaspoons kosher salt,kosher salt,1.5,0.0,teaspoon,
769,3/4 cup Parmesan cheese,Parmesan cheese,0.75,0.0,cup,
770,4 ounces mozzarella cheese diced into 1/4-inch pieces,"mozzarella cheese, diced into 1/4-inch pieces",4.0,0.0,ounce,
771,2 tablespoons tomato paste,tomato paste,2.0,0.0,tablespoon,
772,1/4 cup roughly chopped basil,"basil, roughly chopped",0.25,0.0,cup,
773,"2 small cloves garlic, smashed, peeled and minced","garlic, small, smashed, peeled and minced",2.0,0.0,clove,
774,"6 small plum tomatoes, stem end cut off, and diced into 1/4-inch pieces","small plum tomatoes, stem end cut off, and diced into 1/4-inch pieces",6.0,0.0,,
775,"1 small white boiling onion, peeled and diced in 1/4-inch pieces","small white boiling onion, peeled and diced in 1/4-inch pieces",1.0,0.0,,
776,1 tablespoon olive oil,olive oil,1.0,0.0,tablespoon,
777,2 tablespoons honey,honey,2.0,0.0,tablespoon,
778,"6 strips lemon peel, white pith removed, about 1/2 inch wide and 3 1/2 inches long",lemon peel,6.0,0.0,strip,"white pith removed, about 1/2 inch wide and 3 1/2 inches long"
779,"8 strips of orange peel, white pith removed, about 1/2 inch wide and 3 1/2 inches long",orange peel,8.0,0.0,strip,"white pith removed, about 1/2 inch wide and 3 1/2 inches long"
780,4 cups Kalamata (preferred) or Gaeta olives,olives,4.0,0.0,cup,Kalamata (preferred) or Gaeta
781,2 tablespoons red wine vinegar,red wine vinegar,2.0,0.0,tablespoon,
782,"4 cloves garlic, smashed and peeled","garlic, smashed and peeled",4.0,0.0,clove,
783,6 tablespoons orange juice,orange juice,6.0,0.0,tablespoon,
784,4 teaspoons fennel seeds,fennel seeds,4.0,0.0,teaspoon,
785,Freshly ground black pepper to taste,black pepper,0.0,0.0,,Freshly ground to taste
786,1/8 teaspoon salt,salt,0.13,0.0,teaspoon,
787,2 teaspoons Dijon mustard,Dijon mustard,2.0,0.0,teaspoon,
788,3/4 cup nonfat buttermilk,nonfat buttermilk,0.75,0.0,cup,
789,Bunch fresh chives to yield 1 tablespoon chopped,chives,0.0,0.0,,Bunch fresh to yield 1 tablespoon chopped
790,1/2 pound cabbage,cabbage,0.5,0.0,pound,
791,3/4 pound tiny thin-skinned potatoes,potatoes,0.75,0.0,pound,tiny thin-skinned
792,1/4 cup dry red wine,dry red wine,0.25,0.0,cup,
793,8 ounces fresh tuna,tuna,8.0,0.0,ounce,fresh
794,1/2 teaspoon anchovy paste,anchovy paste,0.5,0.0,teaspoon,
795,1 teaspoon capers,capers,1.0,0.0,teaspoon,
796,4 oil-cured olives,olives,4.0,0.0,,oil-cured
797,1 large clove garlic,garlic,1.0,0.0,clove,large
798,2 teaspoons olive oil,olive oil,2.0,0.0,teaspoon,
799,"6 ounces whole red onion or 5 ounces chopped, ready-cut onion (1 1/3 cups)",onion,6.0,0.0,ounce,"whole red, or 5 ounces chopped, ready-cut onion (1 1/3 cups)"
800,1 teaspoon grated lemon zest,lemon,1.0,0.0,teaspoon,grated zested
801,"1 cup pecans, toasted and chopped",pecans,1.0,0.0,cup,toasted and chopped
802,"4 cups fresh dates, pitted and cut into 1/2-inch dice",dates,4.0,0.0,cup,"fresh, pitted and cut into 1/2-inch dice"
803,"8 large Granny Smith apples, peeled, cored and cut into 1/2-inch slices",apples,8.0,0.0,,"large Granny Smith, peeled, cored and cut into 1/2-inch slices"
804,2 teaspoons grated orange zest,orange,2.0,0.0,teaspoon,grated zested
805,"1 cup unsalted butter, cut into small pieces",unsalted butter,1.0,0.0,cup,cut into small pieces
806,1 teaspoon ground nutmeg,nutmeg,1.0,0.0,teaspoon,ground
807,1 teaspoon kosher salt,salt,1.0,0.0,teaspoon,kosher
808,2 teaspoons ground cinnamon,cinnamon,2.0,0.0,teaspoon,ground
809,2 cups brown sugar,brown sugar,2.0,0.0,cup,
810,1 cup all-purpose flour,flour,1.0,0.0,cup,all-purpose
811,2 cups old-fashioned oats,oats,2.0,0.0,cup,old-fashioned
812,Kosher salt and freshly ground black pepper to taste,salt and black pepper,0.0,0.0,,Kosher freshly ground to taste
813,3 tablespoon chopped Italian parsley,parsley,3.0,0.0,tablespoon,chopped Italian
814,2/3 cup pine nuts,pine nuts,0.67,0.0,cup,
815,2 tablespoons coarsely chopped Italian parsley leaves,Italian parsley leaves,2.0,0.0,tablespoon,coarsely chopped
816,1/3 cup pitted and sliced picholine olives,picholine olives,0.33,0.0,cup,pitted and sliced
817,"16 fresh dates, pitted and thinly sliced",dates,16.0,0.0,,"fresh, pitted and thinly sliced"
818,1 tablespoon olive oil,olive oil,1.0,0.0,tablespoon,
819,"1 small bunch fresh thyme, roughly chopped",thyme,1.0,0.0,bunch,"small fresh, roughly chopped"
820,"1 large onion, peeled and roughly chopped",onion,1.0,0.0,,"large, peeled and roughly chopped"
821,"4 ribs celery, chopped",celery rib,4.0,0.0,,chopped
822,Freshly ground black pepper to taste,black pepper,0.0,0.0,,Freshly ground to taste
823,4 teaspoons kosher salt,salt,4.0,0.0,teaspoon,kosher
824,"2 whole Long Island ducks, trimmed of wing tips and excess fat",Long Island ducks,2.0,0.0,,"whole, trimmed of wing tips and excess fat"
825,"16 fresh dates, pitted and thinly sliced lengthwise",fresh dates,16.0,0.0,,pitted and thinly sliced lengthwise
826,Olive oil for greasing the pan,olive oil,0.0,0.0,,for greasing the pan
827,2 teaspoons kosher salt,kosher salt,2.0,0.0,teaspoon,
828,1 teaspoon kosher salt,kosher salt,1.0,0.0,teaspoon,
829,1/2 cup olive oil,olive oil,0.5,0.0,cup,
830,1/2 cup red-wine vinegar,red-wine vinegar,0.5,0.0,cup,
831,2 tablespoons whole allspice,whole allspice,2.0,0.0,tablespoon,
832,1 tablespoon whole cloves,whole cloves,1.0,0.0,tablespoon,
833,"1 whole nutmeg seed, smashed",whole nutmeg seed,1.0,0.0,,smashed
834,2 3-inch cinnamon sticks,cinnamon sticks,2.0,0.0,,3-inch
835,1/3 cup brown sugar,brown sugar,0.33,0.0,cup,
836,1 bottle cabernet sauvignon,cabernet sauvignon,1.0,0.0,bottle,
837,1 cup whole unblanched almonds,whole unblanched almonds,1.0,0.0,cup,
838,1 egg,egg,1.0,0.0,,
839,1 1/2 teaspoons chopped fresh rosemary,rosemary,1.5,0.0,teaspoon,chopped fresh
840,1/4 teaspoon freshly ground black pepper,black pepper,0.25,0.0,teaspoon,freshly ground
841,1 teaspoon kosher salt,salt,1.0,0.0,teaspoon,kosher
842,1 teaspoon baking powder,baking powder,1.0,0.0,teaspoon,
843,1 tablespoon sugar,sugar,1.0,0.0,tablespoon,
844,1 cup all-purpose flour,flour,1.0,0.0,cup,all-purpose
845,3/4 cup yellow cornmeal,yellow cornmeal,0.75,0.0,cup,
846,"1/2 cup chopped pitted dates, plus 12 dates, peeled, halved lengthwise and pitted",dates,0.5,0.0,cup,"chopped pitted, plus 12 dates, peeled, halved lengthwise and pitted"
847,"2 tablespoons vegetable oil, plus more for greasing the pan",vegetable oil,2.0,0.0,tablespoon,plus more for greasing the pan
848,1/2 cup oatmeal cookie crumbs (from crumbled cookies),oatmeal cookie crumbs,0.5,0.0,cup,(from crumbled cookies)
849,2 cups Greek or whole milk yogurt,milk yogurt,2.0,0.0,cup,Greek or whole
850,4 teaspoons confectioners' sugar,confectioners' sugar,4.0,0.0,teaspoon,
851,2 cups (one 12-ounce bag) frozen raspberries,raspberries,2.0,0.0,cup,(one 12-ounce bag) frozen
852,"8 small slices (or 4 large slices, halved) stale or day-old white bakery bread",white bakery bread,8.0,0.0,slice,"(or 4 large slices, halved) stale or day-old"
853,4 large eggs,eggs,4.0,0.0,,large
854,"1/4 cup tomato ketchup, more if desired",tomato ketchup,0.25,0.0,cup,more if desired
855,1 cup grated cheddar cheese,cheddar cheese,1.0,0.0,cup,grated
856,1/4 teaspoon mace,mace,0.25,0.0,teaspoon,
857,1 1/2 cups whole milk,milk,1.5,0.0,cup,whole
858,10 slices (6 ounces) bacon,bacon,10.0,0.0,slice,6 ounces
859,Butter for baking dish,Butter,0.0,0.0,,for baking dish
860,2 cups granola,granola,2.0,0.0,cup,
861,1/3 cup vegetable oil,vegetable oil,0.33,0.0,cup,
862,3/4 cup Golden Baker's natural cane sugar or other light brown sugar,cane sugar,0.75,0.0,cup,Golden Baker's natural or other light brown sugar
863,1 large egg,egg,1.0,0.0,,large
864,1 cup buttermilk,butter milk,1.0,0.0,cup,
865,1/4 teaspoon salt,salt,0.25,0.0,teaspoon,
866,1 teaspoon baking soda,baking soda,1.0,0.0,teaspoon,
867,1 1/2 cups all-purpose flour,all-purpose flour,1.5,0.0,cup,
868,Confectioners' sugar for dusting,Confectioners' sugar,0.0,0.0,,for dusting
869,Pinch salt,salt,1.0,0.0,pinch,
870,1/4 cup granulated sugar,sugar,0.25,0.0,cup,granulated
871,"5 tablespoons frozen lemonade concentrate, thawed",lemonade,5.0,0.0,tablespoon,"frozen concentrate, thawed"
872,"5 eggs, separated",eggs,5.0,0.0,,separated
873,Butter for greasing the dish,Butter,0.0,0.0,,for greasing the dish
874,Freshly ground black pepper,black pepper,0.0,0.0,,Freshly ground
875,Salt,Salt,0.0,0.0,,
876,"2 shallots, minced",shallots,2.0,0.0,,minced
877,1/2 cup brut Champagne,Champagne,0.5,0.0,cup,brut
878,1 teaspoon olive oil,olive oil,1.0,0.0,teaspoon,
879,"2 filet mignons, at least 6 ounces each",filet mignons,2.0,0.0,,at least 6 ounces each
880,2 tablespoons plus 1 teaspoon butter,butter,7.0,0.0,teaspoon,
881,Freshly ground black pepper,black pepper,0.0,0.0,,Freshly ground
882,Salt,Salt,0.0,0.0,,
883,1 egg yolk,egg,1.0,0.0,,yolk
884,20 ounces golden (whitefish) caviar,caviar,20.0,0.0,ounce,golden (white fish)
885,1 1/2 pounds angel-hair pasta,pasta,1.5,0.0,pound,angel-hair
886,"8 tablespoons unsalted butter, softened",unsalted butter,8.0,0.0,tablespoon,softened
887,2 bay leaves,bay leaves,2.0,0.0,,
888,1/3 cup Calvados or other brandy,brandy,0.33,0.0,cup,Calvados or other
889,3 cups créme fraîche,créme fraîche,3.0,0.0,cup,
890,Freshly grated Reggiano Parmesan,Reggiano Parmesan,0.0,0.0,,Freshly grated
891,Coarse sea salt and freshly ground pepper to taste,Coarse sea salt and pepper,0.0,0.0,,freshly ground to taste
892,About 1 cup heavy cream,heavy cream,1.0,0.0,cup,About
893,"1 clove garlic, minced",garlic,1.0,0.0,clove,minced
894,3 to 4 tablespoons olive oil,olive oil,3.0,4.0,tablespoon,
895,About 24 sage leaves,sage leaves,24.0,0.0,,About
896,4 hot Italian sausages,Italian sausages,4.0,0.0,,hot
897,1 pound fettuccine,fettuccine,1.0,0.0,pound,
898,Coarse sea salt to taste,Coarse sea salt,0.0,0.0,,to taste
899,About 24 sage leaves,sage leaves,24.0,0.0,,
900,Freshly ground pepper to taste,pepper,0.0,0.0,,Freshly ground to taste
901,1/2 cup olive oil,olive oil,0.5,0.0,cup,
902,2 tablespoons Dijon mustard,Dijon mustard,2.0,0.0,tablespoon,
903,2 lemons,lemons,2.0,0.0,,
904,"1 salmon fillet, about 1 1/2 to 2 pounds",salmon,1.0,0.0,fillet,about 1 1/2 to 2 pounds
905,"1/2 cup grated Reggiano Parmesan, plus extra for garnish",Reggiano Parmesan,0.5,0.0,cup,"grated, plus extra for garnish"
906,1/2 cup dry white wine,dry white wine,0.5,0.0,cup,
907,2 cups Arborio rice,Arborio rice,2.0,0.0,cup,
908,1 medium onion,onion,1.0,0.0,,medium
909,5 1/2 tablespoons unsalted butter,unsalted butter,5.5,0.0,tablespoon,
910,7 to 8 cups chicken stock,chicken stock,7.0,8.0,cup,
911,Coarse sea salt and freshly ground pepper to taste,Coarse sea salt and pepper,0.0,0.0,,freshly ground to taste
912,About 24 sage leaves,sage leaves,24.0,0.0,,
913,1 medium butternut squash (about 1 pound),butternut squash,1.0,0.0,,medium (about 1 pound)
914,"2 kaffir lime leaves, very thinly shredded",lime leaves,2.0,0.0,,"kaffir, very thinly shredded"
915,1 tablespoon or more nam pla (fish sauce),nam pla,1.0,0.0,tablespoon,or more (fish sauce)
916,1/2 cup green onions,green onions,0.5,0.0,cup,
917,1/2 cup very thinly sliced lemon grass,lemon grass,0.5,0.0,cup,very thinly sliced
918,1/2 cup very thinly sliced ginger,ginger,0.5,0.0,cup,very thinly sliced
919,1/2 cup very thinly sliced shallots,shallots,0.5,0.0,cup,very thinly sliced
920,1 tablespoon palm sugar,sugar,1.0,0.0,tablespoon,palm
921,2 tablespoons kaffir lime juice,lime juice,2.0,0.0,tablespoon,kaffir
922,1 tablespoon tamarind paste,tamarind paste,1.0,0.0,tablespoon,
923,"4 whole kaffir lime leaves, for garnish",lime leaves,4.0,0.0,,"whole kaffir, for garnish"
924,"5 sprigs cilantro, washed, dried and chopped",cilantro,5.0,0.0,sprig,"washed, dried and chopped"
925,3 to 4 tablespoons (or more) lime juice,lime juice,3.0,4.0,tablespoon,or more
926,2 to 3 teaspoons nam pla (fish sauce),nam pla,2.0,3.0,teaspoon,fish sauce
927,"2 to 3 bird pepper chilies, stemmed, seeded and minced",bird pepper chilies,2.0,3.0,,"stemmed, seeded and minced"
928,8 ounces jumbo shrimp,jumbo shrimp,8.0,0.0,ounce,
929,"5 ounces oyster mushrooms, trimmed and quartered",oyster mushrooms,5.0,0.0,ounce,trimmed and quartered
930,"3 kaffir lime leaves, very thinly sliced",lime leaves,3.0,0.0,,"kaffir, very thinly sliced"
931,"4 cups chicken stock, preferably homemade",chicken stock,4.0,0.0,cup,preferably homemade
932,3 or 4 stalks lemon grass,lemon grass,3.0,4.0,stalk,
933,8 egg yolks,egg,8.0,0.0,,yolks
934,1 cup sugar,sugar,1.0,0.0,cup,
935,4 kaffir lime leaves (see note),lime leaves,4.0,0.0,,kaffir (see note)
936,1 quart plus 5 tablespoons whole milk,milk,69.0,0.0,tablespoon,whole
937,12 stalks lemon grass,lemon grass,12.0,0.0,stalk,
938,"Chopped fresh parsley for garnish, optional",parsley,0.0,0.0,,"Chopped fresh for garnish, optional"
939,Salt and freshly ground black pepper,Salt and black pepper,0.0,0.0,,freshly ground
940,"Several sprigs fresh thyme, or 1 teaspoon dried thyme",thyme,0.0,0.0,,"Several sprigs fresh, or 1 teaspoon dried thyme"
941,1 cup fruity red wine,red wine,1.0,0.0,cup,fruity
942,"2 pounds cleaned squid, the bodies cut up if large",squid,2.0,0.0,pound,"cleaned, the bodies cut up if large"
943,"5 cloves garlic, crushed",garlic,5.0,0.0,clove,crushed
944,3 tablespoons extra virgin olive oil,olive oil,3.0,0.0,tablespoon,extra virgin
945,Tinted sugar for decoration (optional),sugar,0.0,0.0,,Tinted for decoration (optional)
946,"Slivered almonds, slightly crushed, for decoration (optional)",almonds,0.0,0.0,,"Slivered, slightly crushed, for decoration (optional)"
947,"3 to 3 1/2 cups all-purpose flour, more if cookie cutters are used",all-purpose flour,3.0,3.5,cup,more if cookie cutters are used
948,1/8 teaspoon salt,salt,0.13,0.0,teaspoon,
949,1 teaspoon vanilla extract,vanilla extract,1.0,0.0,teaspoon,
950,1 tablespoon brandy,brandy,1.0,0.0,tablespoon,
951,3/4 cup sugar,sugar,0.75,0.0,cup,
952,3 large eggs,eggs,3.0,0.0,,large
953,1 cup unsalted butter or margarine,unsalted butter,1.0,0.0,cup,or margarine
954,"6 eggs, separated",eggs,6.0,0.0,,separated
955,1 teaspoon vanilla extract,vanilla extract,1.0,0.0,teaspoon,
956,1/2 cup sugar,sugar,0.5,0.0,cup,
957,4 cups milk,milk,4.0,0.0,cup,
958,"1 cup shelled walnuts, coarsely chopped",walnuts,1.0,0.0,cup,"shelled, coarsely chopped"
959,"1 cup dried, pitted dates, coarsely chopped",dates,1.0,0.0,cup,"dried, pitted, coarsely chopped"
960,"1 1/2 cups dried pears, cut into 1/2-inch pieces",pears,1.5,0.0,cup,"dried, cut into 1/2-inch pieces"
961,1 1/2 cups tawny port,tawny port,1.5,0.0,cup,
962,1 cup dried cranberries,cranberries,1.0,0.0,cup,dried
963,"6 cups brioche (approximately 2 large loaves or 4 mini-loaves), cut into 1-inch cubes",brioche,6.0,0.0,cup,"(approximately 2 large loaves or 4 mini-loaves), cut into 1-inch cubes"
964,1/8 teaspoon salt,salt,0.13,0.0,teaspoon,
965,2 tablespoons sherry,sherry,2.0,0.0,tablespoon,
966,"3/4 cup confectioners' sugar, sifted",confectioners' sugar,0.75,0.0,cup,sifted
967,"4 tablespoons unsalted butter, at room temperature",unsalted butter,4.0,0.0,tablespoon,at room temperature
968,3/4 cup golden raisins,golden raisins,0.75,0.0,cup,
969,3/4 cup dried cherries,cherries,0.75,0.0,cup,dried
970,1/2 teaspoon salt,salt,0.5,0.0,teaspoon,
971,1/2 teaspoon baking soda,baking soda,0.5,0.0,teaspoon,
972,2 cups all-purpose flour,flour,2.0,0.0,cup,all-purpose
973,2 teaspoons ground ginger,ginger,2.0,0.0,teaspoon,ground
974,1/2 cup milk,milk,0.5,0.0,cup,
975,1/2 cup molasses,molasses,0.5,0.0,cup,
976,2 eggs,eggs,2.0,0.0,,
977,1/2 cup brown sugar,brown sugar,0.5,0.0,cup,
978,"4 tablespoons unsalted butter, at room temperature",unsalted butter,4.0,0.0,tablespoon,at room temperature
979,"1 pound dried figs, stemmed",figs,1.0,0.0,pound,"dried, stemmed"
980,2 teaspoons dried thyme,thyme,2.0,0.0,teaspoon,dried
981,3/4 cup sugar,sugar,0.75,0.0,cup,
982,3/4 cup honey,honey,0.75,0.0,cup,
983,3 cups water,water,3.0,0.0,cup,
984,1/2 teaspoon salt,salt,0.5,0.0,teaspoon,
985,"1 1/3 cups blanched almonds, toasted and finely ground",almonds,1.33,0.0,cup,"blanched, toasted and finely ground"
986,3 tablespoons all-purpose flour,flour,3.0,0.0,tablespoon,all-purpose
987,1 teaspoon vanilla extract,vanilla extract,1.0,0.0,teaspoon,
988,2 eggs,eggs,2.0,0.0,,
989,"2/3 cup confectioners' sugar, sifted",confectioners' sugar,0.67,0.0,cup,sifted
990,"6 tablespoons unsalted butter, at room temperature",unsalted butter,6.0,0.0,tablespoon,at room temperature
991,1 tablespoon water,water,1.0,0.0,tablespoon,
992,"1 egg yolk, whisked with 1 tablespoon water",egg,1.0,0.0,,"yolk, whisked with 1 tablespoon water"
993,"1/2 cup cold unsalted butter, cut into pieces",unsalted butter,0.5,0.0,cup,"cold, cut into pieces"
994,1/2 teaspoon ground cinnamon,cinnamon,0.5,0.0,teaspoon,ground
995,1 teaspoon salt,salt,1.0,0.0,teaspoon,
996,1/4 cup sugar,sugar,0.25,0.0,cup,
997,1 1/2 cups all-purpose flour,flour,1.5,0.0,cup,all-purpose
998,3/4 cup Armagnac,Armagnac,0.75,0.0,cup,
